IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
47.79.136.82,47.79.136.82,localhost,"FIT2CLOUD",N/A
47.79.127.58,47.79.127.58,crmv6.cedarcloudsurvey.com,"Let's Encrypt",N/A
47.79.126.178,47.79.126.178,localhost,"FIT2CLOUD",N/A
47.79.125.91,47.79.125.91,ln.p18p.com,"Let's Encrypt",N/A
47.79.124.85,47.79.124.85,ben.hypaysup.org,"Let's Encrypt",N/A
47.79.123.251,47.79.123.251,*.home.theta405.top,"ZeroSSL",N/A
47.79.123.239,47.79.123.239,cj258.com,"Let's Encrypt",N/A
47.79.123.219,47.79.123.219,gdld.top,"Let's Encrypt",N/A
47.79.123.217,47.79.123.217,*.lechenvpn.com,"Let's Encrypt",N/A
47.79.123.232,47.79.123.232,eth999.shop,"Let's Encrypt",N/A
47.79.123.230,47.79.123.230,idgue.web.id,"Let's Encrypt",N/A
47.79.123.223,47.79.123.223,47.79.123.223,"ServerAvatar",N/A
47.79.123.189,47.79.123.189,www.ltfc.top,"Let's Encrypt",N/A
47.79.123.181,47.79.123.181,localhost,"FIT2CLOUD",N/A
47.79.123.173,47.79.123.173,beta.thememovies.net,"Let's Encrypt",N/A
47.79.123.184,47.79.123.184,admin.mdae.my,"Let's Encrypt",N/A
47.79.123.159,47.79.123.159,admin.aipornsearch.shop,"Let's Encrypt",N/A
47.79.123.139,47.79.123.139,www.votingsupply.com,"Let's Encrypt",N/A
47.79.123.90,47.79.123.90,2fa.tzdwd.com,"Let's Encrypt",N/A
47.79.123.80,47.79.123.80,cctvsno.com,"Let's Encrypt",N/A
47.79.123.75,47.79.123.75,gao.ga,"Let's Encrypt",N/A
47.79.123.64,47.79.123.64,dokku-example.yrpang.com,"Let's Encrypt",N/A
47.79.123.54,47.79.123.54,*.lechenvpn.com,"Let's Encrypt",N/A
47.79.123.43,47.79.123.43,1024006.fgrgrgh.online,"Let's Encrypt",N/A
47.79.122.249,47.79.122.249,lucoffeehouse.com,"Let's Encrypt",N/A
47.79.122.238,47.79.122.238,api-sc-id.vixch.com,"Let's Encrypt",N/A
47.79.122.223,47.79.122.223,01.bgp.jp.server.ac130.org,"Let's Encrypt",N/A
47.79.122.204,47.79.122.204,Kubernetes Ingress Controller Fake Certificate,"Acme Co",N/A
47.79.122.194,47.79.122.194,*.web.sparkstarx.com,"Let's Encrypt",N/A
47.79.122.199,47.79.122.199,*.f1shyu.com,"Google Trust Services",N/A
47.79.122.192,47.79.122.192,moodyguy.link,"Let's Encrypt",N/A
47.79.122.165,47.79.122.165,*.ahboy.net,"ZeroSSL",N/A
47.79.122.110,47.79.122.110,bandarquota.com,"Sectigo Limited",N/A
47.79.122.119,47.79.122.119,ws-child.com,"Let's Encrypt",N/A
47.79.122.157,47.79.122.157,973700.xyz,"Let's Encrypt",N/A
47.79.122.107,47.79.122.107,apacea.newfastloan.cc,"Let's Encrypt",N/A
47.79.122.129,47.79.122.129,roboticweldingsystems.com,"Let's Encrypt",N/A
47.79.122.164,47.79.122.164,localhost,"FIT2CLOUD",N/A
47.79.122.85,47.79.122.85,12kele.com,"Let's Encrypt",N/A
47.79.122.75,47.79.122.75,localhost,"FIT2CLOUD",N/A
47.79.122.44,47.79.122.44,download.speedyfx.top,"Let's Encrypt",N/A
47.79.122.41,47.79.122.41,cdnaws.djwak.com,"TrustAsia Technologies, Inc.",N/A
47.79.122.35,47.79.122.35,Common Name,"Organization",N/A
47.79.122.28,47.79.122.28,service.bingxus.net,"Let's Encrypt",N/A
47.79.122.17,47.79.122.17,www.ontfit.com,"Sectigo Limited",N/A
47.79.122.8,47.79.122.8,sg-claw-admin.oaethan.top,"Let's Encrypt",N/A
47.79.122.5,47.79.122.5,admin.okxex.net,"Let's Encrypt",N/A
47.79.122.2,47.79.122.2,no-sni.vercel-infra.com,"Let's Encrypt",N/A
47.79.121.243,47.79.121.243,llm.mine.bz,"Let's Encrypt",N/A
47.79.121.215,47.79.121.215,ceraloxy.cc,"DigiCert Inc",N/A
47.79.121.201,47.79.121.201,admin.kester.asia,"sslTrus",N/A
47.79.121.200,47.79.121.200,filedoc.poltracking.app,"Let's Encrypt",N/A
47.79.121.198,47.79.121.198,b.fuyue.cc,"Let's Encrypt",N/A
47.79.121.154,47.79.121.154,api.ai4future.com.cn,"Let's Encrypt",N/A
47.79.121.151,47.79.121.151,0verlink.net,"Let's Encrypt",N/A
47.79.121.147,47.79.121.147,livingcanton.cn,"Let's Encrypt",N/A
47.79.121.127,47.79.121.127,treasurepot.site,"ZeroSSL",N/A
47.79.121.105,47.79.121.105,www.jinxuejp.info,"Let's Encrypt",N/A
47.79.121.83,47.79.121.83,binklookup.top,"Let's Encrypt",N/A
47.79.121.33,47.79.121.33,digitalprocedure.com.cn,"Let's Encrypt",N/A
47.79.120.216,47.79.120.216,115.client.lat,"Let's Encrypt",N/A
47.79.120.151,47.79.120.151,vv.tv-x.us.kg,"Let's Encrypt",N/A
47.79.120.91,47.79.120.91,besoksenin.cam,"Let's Encrypt",N/A
47.79.120.70,47.79.120.70,sg.wanzijia.online,"Let's Encrypt",N/A
47.79.120.57,47.79.120.57,xjp03.577808.xyz,"ZeroSSL",N/A
47.79.120.215,47.79.120.215,yahoo.com,"DigiCert Inc",N/A
47.79.120.54,47.79.120.54,www.ulanton.com,"Let's Encrypt",N/A
47.79.120.39,47.79.120.39,openlitespeed.host,"LiteSpeedCommunity",N/A
47.79.120.51,47.79.120.51,yahoo.com,"DigiCert Inc",N/A
47.79.119.236,47.79.119.236,hopo.ai,"Let's Encrypt",N/A
47.79.119.182,47.79.119.182,sg-01.18cm.one,"Let's Encrypt",N/A
47.79.119.39,47.79.119.39,health-food.xyz,"Let's Encrypt",N/A
47.79.119.61,47.79.119.61,leeg.203366.xyz,"Let's Encrypt",N/A
47.79.118.255,47.79.118.255,www.aolve.online,"Let's Encrypt",N/A
47.79.118.247,47.79.118.247,360886.xyz,"ZeroSSL",N/A
47.79.118.229,47.79.118.229,n.sni-347-default.ssl.fastly.net,"GlobalSign nv-sa",N/A
47.79.118.95,47.79.118.95,mcc3dp.com,"DigiCert Inc",N/A
47.79.118.83,47.79.118.83,binfin.vip,"Let's Encrypt",N/A
47.79.117.158,47.79.117.158,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.117.161,47.79.117.161,service.ex8ne8ss.buzz,"Let's Encrypt",N/A
47.79.117.17,47.79.117.17,sonnguyenapple.com,"Let's Encrypt",N/A
47.79.116.241,47.79.116.241,codediva.co.th,"Let's Encrypt",N/A
47.79.99.225,47.79.99.225,www.sinluxlight.com,"Let's Encrypt",N/A
47.79.99.224,47.79.99.224,app.inviee.id,"Let's Encrypt",N/A
47.79.99.216,47.79.99.216,amheh.com,"DigiCert Inc",N/A
47.79.99.181,47.79.99.181,www.blacktea-supplier.com,"Let's Encrypt",N/A
47.79.99.171,47.79.99.171,*.mumuso.com,"Beijing Xinchacha Credit Management Co., Ltd.",N/A
47.79.99.150,47.79.99.150,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.99.20,47.79.99.20,agrent.xyz,"Let's Encrypt",N/A
47.79.98.227,47.79.98.227,a1.swjs.cc,"Let's Encrypt",N/A
47.79.98.201,47.79.98.201,nagacp.ownsite.my.id,"Let's Encrypt",N/A
47.79.98.216,47.79.98.216,Kubernetes Ingress Controller Fake Certificate,"Acme Co",N/A
47.79.98.155,47.79.98.155,eztoolboxqld.com.au,"Let's Encrypt",N/A
47.79.98.144,47.79.98.144,1.zyinter.ai,"Let's Encrypt",N/A
47.79.98.132,47.79.98.132,knscha.com.cn,"Let's Encrypt",N/A
47.79.98.131,47.79.98.131,clawvpn.s1mple.cn,"ZeroSSL",N/A
47.79.98.108,47.79.98.108,console.silversea-media.com,"Let's Encrypt",N/A
47.79.98.56,47.79.98.56,eua.inc,"Inc",N/A
47.79.98.57,47.79.98.57,redbull.my.id,"Let's Encrypt",N/A
47.79.98.45,47.79.98.45,Common Name,"Organization",N/A
47.79.98.34,47.79.98.34,api.xhlzf.com,"Let's Encrypt",N/A
47.79.98.13,47.79.98.13,localhost,"FIT2CLOUD",N/A
47.79.98.9,47.79.98.9,node-sg-a1.797999.xyz,"Let's Encrypt",N/A
47.79.95.248,47.79.95.248,volcanobbs.click,"Let's Encrypt",N/A
47.79.95.246,47.79.95.246,bluewing-ltd.jp,"Let's Encrypt",N/A
47.79.95.233,47.79.95.233,v2.zijieindex.com,"Let's Encrypt",N/A
47.79.95.228,47.79.95.228,images.apple.com,"Apple Inc.",N/A
47.79.95.218,47.79.95.218,127.0.0.1,"宝塔面板",N/A
47.79.95.216,47.79.95.216,komari.888608.xyz,"Let's Encrypt",N/A
47.79.95.213,47.79.95.213,cc.raviw.com,"Let's Encrypt",N/A
47.79.95.207,47.79.95.207,Cloudflare,"Cloudflare, Inc.",N/A
47.79.95.208,47.79.95.208,mail.jj1120.top,"Let's Encrypt",N/A
47.79.95.203,47.79.95.203,xn--cksr0aw0dr1f8n8a1xm.com,"ZeroSSL",N/A
47.79.95.196,47.79.95.196,47.79.95.196,"SSL Corporation",N/A
47.79.95.164,47.79.95.164,axx.axaxqxdw.top,"Let's Encrypt",N/A
47.79.95.155,47.79.95.155,line07.com,"Let's Encrypt",N/A
